GUI: ,Regular
Configuration: ,Config2

Start Time, Duration, Question, Response
47.66459, 4.871777, 4, 0
52.53664, 3.074112, 5, 1
55.6109, 1.439175, 6, 1
103.4759, 15.13629, 1, 0
118.6123, 2.672119, 2, 0
121.2848, 0.5191269, 3, 0
134.3056, 4.252243, 1, 3
138.558, 1.680466, 2, 2
140.2386, 1.917892, 3, 2

