GUI: ,AR
Configuration: ,Config2

Start Time, Duration, Question, Response
47.30093, 5.366673, 4, 1
52.66788, 1.236053, 5, 1
53.90411, 2.525787, 6, 1
97.03341, 2.659454, 1, 2
99.69305, 2.10331, 2, 1
101.7965, 1.657127, 3, 1
115.9563, 2.617889, 1, 3
118.5744, 1.111191, 2, 2
119.6857, 0.8259888, 3, 2

